"SIMBOLO","EMPRESA","REF_DATE","PRECO"
"AAPL","Apple Inc.",2010-01-04,7.643214
"AAPL","Apple Inc.",2010-01-05,7.656429
"AAPL","Apple Inc.",2010-01-06,7.534643
"AAPL","Apple Inc.",2010-01-07,7.520714
"AAPL","Apple Inc.",2010-01-08,7.570714
"AAPL","Apple Inc.",2010-01-11,7.503929
"AAPL","Apple Inc.",2010-01-12,7.418571
"AAPL","Apple Inc.",2010-01-13,7.523214
"AAPL","Apple Inc.",2010-01-14,7.479643
"AAPL","Apple Inc.",2010-01-15,7.354643
"AAPL","Apple Inc.",2010-01-19,7.68
"AAPL","Apple Inc.",2010-01-20,7.561786
"AAPL","Apple Inc.",2010-01-21,7.431071
"AAPL","Apple Inc.",2010-01-22,7.0625
"AAPL","Apple Inc.",2010-01-25,7.2525
"AAPL","Apple Inc.",2010-01-26,7.355
"AAPL","Apple Inc.",2010-01-27,7.424286
"AAPL","Apple Inc.",2010-01-28,7.1175
"AAPL","Apple Inc.",2010-01-29,6.859286
"AAPL","Apple Inc.",2010-02-01,6.954643
"AAPL","Apple Inc.",2010-02-02,6.995
"AAPL","Apple Inc.",2010-02-03,7.115357
"AAPL","Apple Inc.",2010-02-04,6.858929
"AAPL","Apple Inc.",2010-02-05,6.980714
"AAPL","Apple Inc.",2010-02-08,6.932857
"AAPL","Apple Inc.",2010-02-09,7.006786
"AAPL","Apple Inc.",2010-02-10,6.968571
"AAPL","Apple Inc.",2010-02-11,7.095357
"AAPL","Apple Inc.",2010-02-12,7.156429
"AAPL","Apple Inc.",2010-02-16,7.264286
"AAPL","Apple Inc.",2010-02-17,7.233929
"AAPL","Apple Inc.",2010-02-18,7.2475
"AAPL","Apple Inc.",2010-02-19,7.2025
"AAPL","Apple Inc.",2010-02-22,7.157857
"AAPL","Apple Inc.",2010-02-23,7.037857
"AAPL","Apple Inc.",2010-02-24,7.166429
"AAPL","Apple Inc.",2010-02-25,7.214286
"AAPL","Apple Inc.",2010-02-26,7.307857
"AAPL","Apple Inc.",2010-03-01,7.463929
"AAPL","Apple Inc.",2010-03-02,7.458929
"AAPL","Apple Inc.",2010-03-03,7.476071
"AAPL","Apple Inc.",2010-03-04,7.525357
"AAPL","Apple Inc.",2010-03-05,7.819643
"AAPL","Apple Inc.",2010-03-08,7.824286
"AAPL","Apple Inc.",2010-03-09,7.965
"AAPL","Apple Inc.",2010-03-10,8.03
"AAPL","Apple Inc.",2010-03-11,8.053571
"AAPL","Apple Inc.",2010-03-12,8.092857
"AAPL","Apple Inc.",2010-03-15,7.994286
"AAPL","Apple Inc.",2010-03-16,8.016071
"AAPL","Apple Inc.",2010-03-17,8.004286
"AAPL","Apple Inc.",2010-03-18,8.023214
"AAPL","Apple Inc.",2010-03-19,7.9375
"AAPL","Apple Inc.",2010-03-22,8.026786
"AAPL","Apple Inc.",2010-03-23,8.155714
"AAPL","Apple Inc.",2010-03-24,8.191786
"AAPL","Apple Inc.",2010-03-25,8.094643
"AAPL","Apple Inc.",2010-03-26,8.246429
"AAPL","Apple Inc.",2010-03-29,8.299643
"AAPL","Apple Inc.",2010-03-30,8.423214
"AAPL","Apple Inc.",2010-03-31,8.392857
"AAPL","Apple Inc.",2010-04-01,8.4275
"AAPL","Apple Inc.",2010-04-05,8.5175
"AAPL","Apple Inc.",2010-04-06,8.555
"AAPL","Apple Inc.",2010-04-07,8.592857
"AAPL","Apple Inc.",2010-04-08,8.569643
"AAPL","Apple Inc.",2010-04-09,8.635357
"AAPL","Apple Inc.",2010-04-12,8.653214
"AAPL","Apple Inc.",2010-04-13,8.658214
"AAPL","Apple Inc.",2010-04-14,8.774643
"AAPL","Apple Inc.",2010-04-15,8.89
"AAPL","Apple Inc.",2010-04-16,8.835714
"AAPL","Apple Inc.",2010-04-19,8.823929
"AAPL","Apple Inc.",2010-04-20,8.735357
"AAPL","Apple Inc.",2010-04-21,9.257857
"AAPL","Apple Inc.",2010-04-22,9.516786
"AAPL","Apple Inc.",2010-04-23,9.6725
"AAPL","Apple Inc.",2010-04-26,9.625
"AAPL","Apple Inc.",2010-04-27,9.358571
"AAPL","Apple Inc.",2010-04-28,9.342857
"AAPL","Apple Inc.",2010-04-29,9.594286
"AAPL","Apple Inc.",2010-04-30,9.324643
"AAPL","Apple Inc.",2010-05-03,9.5125
"AAPL","Apple Inc.",2010-05-04,9.238571
"AAPL","Apple Inc.",2010-05-05,9.1425
"AAPL","Apple Inc.",2010-05-06,8.794643
"AAPL","Apple Inc.",2010-05-07,8.423571
"AAPL","Apple Inc.",2010-05-10,9.071071
"AAPL","Apple Inc.",2010-05-11,9.161429
"AAPL","Apple Inc.",2010-05-12,9.360357
"AAPL","Apple Inc.",2010-05-13,9.227143
"AAPL","Apple Inc.",2010-05-14,9.065
"AAPL","Apple Inc.",2010-05-17,9.079286
"AAPL","Apple Inc.",2010-05-18,9.012857
"AAPL","Apple Inc.",2010-05-19,8.869286
"AAPL","Apple Inc.",2010-05-20,8.491429
"AAPL","Apple Inc.",2010-05-21,8.654286
"AAPL","Apple Inc.",2010-05-24,8.812857
"AAPL","Apple Inc.",2010-05-25,8.757857
"AAPL","Apple Inc.",2010-05-26,8.718214
"AAPL","Apple Inc.",2010-05-27,9.048214
"AAPL","Apple Inc.",2010-05-28,9.174286
"AAPL","Apple Inc.",2010-06-01,9.315357
"AAPL","Apple Inc.",2010-06-02,9.426786
"AAPL","Apple Inc.",2010-06-03,9.397143
"AAPL","Apple Inc.",2010-06-04,9.141429
"AAPL","Apple Inc.",2010-06-07,8.962143
"AAPL","Apple Inc.",2010-06-08,8.904643
"AAPL","Apple Inc.",2010-06-09,8.685714
"AAPL","Apple Inc.",2010-06-10,8.946786
"AAPL","Apple Inc.",2010-06-11,9.053929
"AAPL","Apple Inc.",2010-06-14,9.081429
"AAPL","Apple Inc.",2010-06-15,9.274643
"AAPL","Apple Inc.",2010-06-16,9.544643
"AAPL","Apple Inc.",2010-06-17,9.709643
"AAPL","Apple Inc.",2010-06-18,9.788214
"AAPL","Apple Inc.",2010-06-21,9.648929
"AAPL","Apple Inc.",2010-06-22,9.780357
"AAPL","Apple Inc.",2010-06-23,9.6775
"AAPL","Apple Inc.",2010-06-24,9.607143
"AAPL","Apple Inc.",2010-06-25,9.525
"AAPL","Apple Inc.",2010-06-28,9.582143
"AAPL","Apple Inc.",2010-06-29,9.148929
"AAPL","Apple Inc.",2010-06-30,8.983214
"AAPL","Apple Inc.",2010-07-01,8.874286
"AAPL","Apple Inc.",2010-07-02,8.819286
"AAPL","Apple Inc.",2010-07-06,8.879643
"AAPL","Apple Inc.",2010-07-07,9.238214
"AAPL","Apple Inc.",2010-07-08,9.2175
"AAPL","Apple Inc.",2010-07-09,9.272143
